characteristic,cluster1,cluster2,p.adj,conover_stat
p_10250016_1d_total,3,5,0.07540292676889265,-1.9691069927507652
p_10250016_1d_total,4,5,0.39970003721900343,0.4584143277029094
p_10250016_1d_total,1,6,0.10822490967712964,-1.6887587507174184
p_10250016_1d_total,2,6,0.28473206897145104,0.9317898452024469
p_10250016_1d_total,3,6,0.10201676550463498,-1.6663001385815288
p_10250016_1d_total,4,6,0.4209643595444804,0.52322065051483
p_10250016_1d_total,5,6,0.4845419518204527,0.15523042359916073
p_10250016_1d_total,1,7,0.04757316481258112,-2.2245709951041652
p_10250016_1d_total,2,7,0.32997975539161223,0.9451222080840457
p_10250016_1d_total,3,7,0.06759138668713056,-1.9585843892352284
p_10250016_1d_total,4,7,0.4227412822171297,0.4625405993109969
p_10250016_1d_total,5,7,0.4971225465464125,0.007221443548898129
p_10250016_1d_total,6,7,0.4630266225407228,-0.14867329676694185
p_10270205_1d_total,1,2,0.01223430550193939,-2.7243500580753315
p_10270205_1d_total,1,3,0.12475497359446192,1.5662325734189741
p_10270205_1d_total,2,3,0.0034894852433393995,3.4559546515544435
p_10270205_1d_total,1,4,0.02830828642570772,-2.2694871974662245
p_10270205_1d_total,2,4,0.283955416302097,0.8823479697175511
p_10270205_1d_total,3,4,0.005450569167069081,-3.118319370977563
p_10270205_1d_total,1,5,0.00960807325899898,-2.866631182173515
p_10270205_1d_total,2,5,0.4687067940424775,0.07861606431640324
p_10270205_1d_total,3,5,0.0053009144079801795,-3.5337108810876683
p_10270205_1d_total,4,5,0.26532041929657957,-0.8815659015287894
p_10270205_1d_total,1,6,0.19310735384168642,-1.2790545592171778
p_10270205_1d_total,2,6,0.2380822010879871,1.1011731924424486
p_10270205_1d_total,3,6,0.023029830044019692,-2.394153110073481
p_10270205_1d_total,4,6,0.372493456521652,0.4704026965874591
p_10270205_1d_total,5,6,0.2213194200868779,1.0967598586266185
p_10270205_1d_total,1,7,0.015322236377882822,-2.592126955979922
p_10270205_1d_total,2,7,0.4129646313407287,0.3226699401980226
p_10270205_1d_total,3,7,0.003367871428192838,-3.3491711398170465
p_10270205_1d_total,4,7,0.3458042696223049,-0.5839695193065192
p_10270205_1d_total,5,7,0.41505255588651896,0.2659042945335168
p_10270205_1d_total,6,7,0.25065349184711794,-0.876170323039
p_10270207_1d_total,1,2,0.0068436862334398645,-2.9179537232138344
p_10270207_1d_total,1,3,0.2565217268535817,1.1089389631907451
p_10270207_1d_total,2,3,0.009992687585208526,3.145087905848665
p_10270207_1d_total,1,4,0.0067552084078366225,-2.871835093416263
p_10270207_1d_total,2,4,0.41877226741874096,0.5277345451805163
p_10270207_1d_total,3,4,0.005861346476045445,-3.0259663645862593
p_10270207_1d_total,1,5,0.007320306557576876,-3.11608100620766
p_10270207_1d_total,2,5,0.483833897425562,0.040582333815800835
p_10270207_1d_total,3,5,0.014718326507595629,-3.237838099715924
p_10270207_1d_total,4,5,0.4449518327950738,-0.5349307872910406
p_10270207_1d_total,1,6,0.05765013899917731,-1.9304977329494142
p_10270207_1d_total,2,6,0.42406610844821646,0.6366786591483727
p_10270207_1d_total,3,6,0.01712650663675341,-2.4607418063133335
p_10270207_1d_total,4,6,0.44078534195368085,0.2567681356463767
p_10270207_1d_total,5,6,0.4584158488678188,0.6384181260032554
p_10270207_1d_total,1,7,0.006700270891698819,-2.830390477519837
p_10270207_1d_total,2,7,0.47499569205755726,0.29401366641444343
p_10270207_1d_total,3,7,0.006839353617532573,-3.0476474280646446
p_10270207_1d_total,4,7,0.4299006632348421,-0.2293034268493229
p_10270207_1d_total,5,7,0.4567079643705308,0.2758620015388406
p_10270207_1d_total,6,7,0.44683639662030455,-0.4118225523813122
p_10270103_1d_total,1,2,0.09363438497387189,-1.8733479345690063
p_10270103_1d_total,1,3,0.12374151782018541,1.5215765717910412
p_10270103_1d_total,2,3,0.014181182991142878,2.8115196820910895
p_10270103_1d_total,1,4,0.12972894538546415,-1.4510886388558784
p_10270103_1d_total,2,4,0.29542307025448167,0.7103156978721864
p_10270103_1d_total,3,4,0.02467734323931065,-2.5419701942559785
